R2-PINH,170.18,8.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,97.74,60.96,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,169.09,51.99,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,162.53,49.73,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,141.91,46.66,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,85.88,22.58,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,84.45,22.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,62.00,32.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,59.28,32.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,54.94,32.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,102.44,39.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,42.27,49.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,73.96,113.03,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,30.98,113.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,94.89,63.37,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,55.93,112.78,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,85.19,20.07,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,70.74,112.93,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,169.30,14.91,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,81.18,15.37,0.00,1,SJ
TP1,19.99,71.63,0.00,TPTP20R,TP20R
TP10,96.77,95.89,0.00,TPTP20R,TP20R
TP11,96.70,99.92,0.00,TPTP20R,TP20R
